S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
86599.9, 288.077, 379.462, 75.5857, 133.571, 1523.37, 455.047, 3, 89000, 2, 0.00637, 500
86536.7, 293.715, 377.688, 60.4713, 166.031, 1565.41, 438.159, 3, 89000, 2, 0.00637, 500
86475.8, 295.834, 374.83, 53.7748, 191.171, 1608.57, 428.605, 3, 89000, 2, 0.00637, 500
86416.3, 296.16, 372.474, 45.6838, 216.516, 1652.84, 418.157, 3, 89000, 2, 0.00637, 500
86358.3, 294.93, 367.331, 36.1902, 245.051, 1698.17, 403.521, 3, 89000, 2, 0.00637, 500
86302.4, 291.879, 367.383, 35.301, 258.547, 1744.5, 402.684, 3, 89000, 2, 0.00637, 500
86246.6, 289.286, 369.004, 30.2923, 273.079, 1791.73, 399.297, 3, 89000, 2, 0.00637, 500
86191.3, 286.706, 366.147, 36.4857, 279.574, 1839.76, 402.633, 3, 89000, 2, 0.00637, 500
86135.6, 285.069, 362.133, 30.082, 298.604, 1888.49, 392.215, 3, 89000, 2, 0.00637, 500
86081.4, 282.283, 356.176, 31.0374, 311.275, 1937.83, 387.213, 3, 89000, 2, 0.00637, 500
86027.9, 279.328, 351.254, 33.7574, 320.041, 1987.72, 385.011, 3, 89000, 2, 0.00637, 500
85974.7, 276.627, 347.27, 28.1058, 335.181, 2038.08, 375.376, 3, 89000, 2, 0.00637, 500
85922.9, 273.104, 344.193, 30.6959, 340.24, 2088.84, 374.889, 3, 89000, 2, 0.00637, 500
85871.2, 270.187, 341.843, 30.8896, 345.937, 2139.92, 372.732, 3, 89000, 2, 0.00637, 500
85819.8, 267.525, 340.252, 32.8945, 348.227, 2191.25, 373.146, 3, 89000, 2, 0.00637, 500
85768.4, 265.422, 338.401, 34.5964, 350.354, 2242.78, 372.998, 3, 89000, 2, 0.00637, 500
85717.1, 263.688, 334.389, 30.0505, 360.329, 2294.45, 364.44, 3, 89000, 2, 0.00637, 500
85667, 261.093, 330.42, 31.7254, 363.591, 2346.22, 362.146, 3, 89000, 2, 0.00637, 500
85617.2, 258.672, 329.372, 27.1249, 369.62, 2398.05, 356.497, 3, 89000, 2, 0.00637, 500
85568.2, 255.93, 322.06, 28.7077, 375.219, 2449.92, 350.767, 3, 89000, 2, 0.00637, 500
85520, 252.921, 317.885, 28.013, 379.417, 2501.78, 345.898, 3, 89000, 2, 0.00637, 500
85472.5, 249.819, 311.588, 30.1873, 382.316, 2553.58, 341.776, 3, 89000, 2, 0.00637, 500
85425.6, 246.745, 306.307, 32.0202, 384.008, 2605.3, 338.327, 3, 89000, 2, 0.00637, 500
85379.2, 243.787, 297.972, 34.5378, 387.579, 2656.9, 332.51, 3, 89000, 2, 0.00637, 500
85333.7, 240.599, 289.819, 33.698, 393.894, 2708.33, 323.517, 3, 89000, 2, 0.00637, 500
85289.3, 236.792, 282.801, 33.727, 397.759, 2759.58, 316.528, 3, 89000, 2, 0.00637, 500
85246, 232.767, 282.752, 28.5254, 399.348, 2810.6, 311.277, 3, 89000, 2, 0.00637, 500
85203.4, 228.806, 281.143, 23.4539, 401.823, 2861.36, 304.596, 3, 89000, 2, 0.00637, 500
85161.8, 224.702, 280.094, 23.5069, 398.121, 2911.82, 303.601, 3, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 4, 89000, 2, 0.00637, 500
86669.4, 273.317, 388.52, 114.509, 72, 1482.3, 503.029, 4, 89000, 2, 0.00637, 500
86599.4, 288.633, 388.033, 84.7285, 115.857, 1523.37, 472.762, 4, 89000, 2, 0.00637, 500
86533.7, 296.622, 385.725, 63.9945, 154.582, 1565.41, 449.72, 4, 89000, 2, 0.00637, 500
86471.2, 299.763, 378.7, 58.2208, 183.54, 1608.58, 436.921, 4, 89000, 2, 0.00637, 500
86410.6, 300.454, 380.617, 50.0479, 205.43, 1652.9, 430.665, 4, 89000, 2, 0.00637, 500
86350.8, 300.097, 375.494, 49.5003, 225.757, 1698.33, 424.994, 4, 89000, 2, 0.00637, 500
86291.9, 298.984, 371.686, 44.9704, 247.631, 1744.81, 416.657, 4, 89000, 2, 0.00637, 500
86234.2, 296.898, 367.995, 43.6973, 264.943, 1792.26, 411.692, 4, 89000, 2, 0.00637, 500
86177.2, 294.504, 365.276, 41.3899, 281.019, 1840.59, 406.666, 4, 89000, 2, 0.00637, 500
86121, 291.856, 362.415, 42.1037, 292.946, 1889.71, 404.519, 4, 89000, 2, 0.00637, 500
86065, 289.404, 358.388, 40.6077, 307.021, 1939.53, 398.996, 4, 89000, 2, 0.00637, 500
86009.9, 286.643, 355.305, 40.0714, 318.091, 1989.96, 395.377, 4, 89000, 2, 0.00637, 500
85955.3, 283.899, 353.056, 37.4077, 329.37, 2040.92, 390.464, 4, 89000, 2, 0.00637, 500
85901.5, 280.992, 354.584, 34.7696, 335.844, 2092.34, 389.354, 4, 89000, 2, 0.00637, 500
85847.8, 278.479, 352.595, 29.1456, 347.855, 2144.14, 381.741, 4, 89000, 2, 0.00637, 500
85795.2, 275.386, 352.397, 25.7725, 355.008, 2196.26, 378.169, 4, 89000, 2, 0.00637, 500
85743.1, 272.388, 347.78, 27.4547, 360.65, 2248.62, 375.235, 4, 89000, 2, 0.00637, 500
85691.5, 269.553, 341.073, 25.8369, 370.89, 2301.19, 366.91, 4, 89000, 2, 0.00637, 500
85641, 266.11, 338.448, 28.1646, 372.398, 2353.89, 366.612, 4, 89000, 2, 0.00637, 500
85590.6, 263.284, 327.528, 34.1195, 377.798, 2406.67, 361.648, 4, 89000, 2, 0.00637, 500
85540.9, 260.312, 327.993, 32.4794, 378.812, 2459.49, 360.473, 4, 89000, 2, 0.00637, 500
85491.4, 257.745, 328.009, 30.7782, 379.754, 2512.3, 358.787, 4, 89000, 2, 0.00637, 500
85442.2, 255.43, 324.664, 29.0444, 383.629, 2565.05, 353.708, 4, 89000, 2, 0.00637, 500
85393.7, 252.854, 318.234, 29.2956, 388.227, 2617.72, 347.53, 4, 89000, 2, 0.00637, 500
85346, 249.919, 318.902, 22.3743, 392.496, 2670.27, 341.277, 4, 89000, 2, 0.00637, 500
85299.3, 246.687, 313.112, 24.7713, 393.461, 2722.68, 337.884, 4, 89000, 2, 0.00637, 500
85253, 243.612, 312.283, 27.8031, 388.357, 2774.92, 340.086, 4, 89000, 2, 0.00637, 500
85206.5, 241.428, 308.083, 27.4339, 389.617, 2826.95, 335.517, 4, 89000, 2, 0.00637, 500
85160.6, 239.03, 298.877, 28.96, 393.787, 2878.75, 327.837, 4, 89000, 2, 0.00637, 500
85115.8, 236.038, 294.993, 29.2332, 393.659, 2930.29, 324.226, 4, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 5, 89000, 2, 0.00637, 500
86669.4, 273.317, 387.52, 115.509, 72, 1482.3, 503.029, 5, 89000, 2, 0.00637, 500
86599.4, 288.633, 377.105, 85.6571, 125.857, 1523.37, 462.762, 5, 89000, 2, 0.00637, 500
86535.1, 295.232, 373.577, 67.8567, 162.867, 1565.41, 441.434, 5, 89000, 2, 0.00637, 500
86473.7, 297.501, 368.226, 51.7237, 200.234, 1608.58, 419.949, 5, 89000, 2, 0.00637, 500
86415.4, 296.291, 365.574, 47.8792, 221.932, 1652.88, 413.453, 5, 89000, 2, 0.00637, 500
86358.1, 294.382, 362.942, 43.2367, 243.079, 1698.26, 406.179, 5, 89000, 2, 0.00637, 500
86301.8, 291.809, 361.231, 38.8113, 261.716, 1744.64, 400.043, 5, 89000, 2, 0.00637, 500
86246.4, 288.863, 357.282, 36.5476, 279.022, 1791.9, 393.83, 5, 89000, 2, 0.00637, 500
86191.9, 285.611, 357.203, 40.2689, 285.092, 1839.97, 397.472, 5, 89000, 2, 0.00637, 500
86136.9, 283.479, 351.674, 39.5292, 299.729, 1888.72, 391.203, 5, 89000, 2, 0.00637, 500
86082.8, 280.872, 352.242, 37.7145, 308.319, 1938.07, 389.956, 5, 89000, 2, 0.00637, 500
86028.9, 278.579, 351.404, 31.8729, 321.297, 1987.95, 383.276, 5, 89000, 2, 0.00637, 500
85976, 275.789, 348.304, 37.311, 324.347, 2038.28, 385.615, 5, 89000, 2, 0.00637, 500
85922.8, 273.848, 342.036, 39.1933, 333.179, 2088.99, 381.229, 5, 89000, 2, 0.00637, 500
85870.2, 271.656, 341.944, 40.8246, 335.381, 2140.02, 382.768, 5, 89000, 2, 0.00637, 500
85817.4, 270.083, 335.551, 39.208, 346.425, 2191.31, 374.759, 5, 89000, 2, 0.00637, 500
85765.8, 267.689, 331.395, 36.6124, 355.68, 2242.83, 368.007, 5, 89000, 2, 0.00637, 500
85715.1, 264.813, 323.2, 30.0586, 372.275, 2294.52, 353.259, 5, 89000, 2, 0.00637, 500
85666.5, 260.454, 320.188, 34.8004, 371.683, 2346.34, 354.989, 5, 89000, 2, 0.00637, 500
85617.7, 257.176, 319.781, 33.9418, 373.135, 2398.25, 353.723, 5, 89000, 2, 0.00637, 500
85569.1, 254.352, 321.944, 35.948, 368.482, 2450.17, 357.892, 5, 89000, 2, 0.00637, 500
85520, 252.638, 318.558, 37.6414, 369.162, 2502.05, 356.199, 5, 89000, 2, 0.00637, 500
85471.1, 251.007, 314.173, 34.1111, 375.793, 2553.86, 348.284, 5, 89000, 2, 0.00637, 500
85423.3, 248.587, 314.873, 32.7349, 374.951, 2605.58, 347.608, 5, 89000, 2, 0.00637, 500
85375.6, 246.532, 308.184, 31.312, 381.169, 2657.19, 339.496, 5, 89000, 2, 0.00637, 500
85329.1, 243.75, 304.686, 28.8674, 384.942, 2708.67, 333.553, 5, 89000, 2, 0.00637, 500
85283.4, 240.685, 299.047, 30.4304, 386.447, 2759.99, 329.478, 5, 89000, 2, 0.00637, 500
85238.3, 237.651, 292.383, 30.6979, 389.843, 2811.13, 323.081, 5, 89000, 2, 0.00637, 500
85194.1, 234.324, 290.769, 34.7643, 383.997, 2862.05, 325.534, 5, 89000, 2, 0.00637, 500
85149.6, 231.976, 286.806, 34.3406, 384.569, 2912.73, 321.146, 5, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 6, 89000, 2, 0.00637, 500
86669.4, 273.317, 388.52, 110.509, 76, 1482.3, 499.029, 6, 89000, 2, 0.00637, 500
86599.9, 288.077, 379.033, 82.0142, 127.571, 1523.37, 461.047, 6, 89000, 2, 0.00637, 500
86535.8, 294.549, 374.29, 72.4407, 157.459, 1565.41, 446.731, 6, 89000, 2, 0.00637, 500
86473.8, 297.691, 369.792, 57.9393, 192.212, 1608.57, 427.731, 6, 89000, 2, 0.00637, 500
86414.4, 297.523, 364.055, 48.6622, 222.483, 1652.85, 412.717, 6, 89000, 2, 0.00637, 500
86357.2, 295.265, 358.704, 52.0377, 238.591, 1698.22, 410.742, 6, 89000, 2, 0.00637, 500
86300.2, 293.147, 352.42, 49.0366, 260.549, 1744.6, 401.456, 6, 89000, 2, 0.00637, 500
86244.6, 290.129, 347.287, 45.1228, 280.938, 1791.89, 392.41, 6, 89000, 2, 0.00637, 500
86190.3, 286.426, 339.099, 45.3075, 298.871, 1839.99, 384.407, 6, 89000, 2, 0.00637, 500
86137.1, 282.322, 334.977, 46.2568, 310.523, 1888.79, 381.234, 6, 89000, 2, 0.00637, 500
86084.4, 278.568, 334.576, 44.8921, 319.343, 1938.2, 379.468, 6, 89000, 2, 0.00637, 500
86032, 275.288, 333.677, 38.3996, 332.533, 1988.12, 372.077, 6, 89000, 2, 0.00637, 500
